country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-02-15,5,4,-5,8,6,0
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-02-16,2,3,-13,3,0,1
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-02-17,-2,0,-12,9,19,-1
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-02-18,-3,-1,-11,9,15,-1
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-02-19,-1,-2,-5,8,14,-1
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-02-20,1,7,2,11,15,-2
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-02-21,2,10,1,12,13,-1
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-02-22,-3,6,12,6,-4,0
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-02-23,4,7,32,2,-3,1
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-02-24,-14,-7,69,-27,-45,8
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-02-25,-31,-29,51,-35,-61,10
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-02-26,-18,-11,-8,-17,-18,6
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-02-27,-8,2,-11,1,10,1
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-02-28,-5,3,-17,2,13,1
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-02-29,-3,5,-23,-2,5,3
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-01,-9,3,-34,-10,-1,5
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-02,-6,1,-25,6,20,0
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-03,-5,2,-21,6,15,-1
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-04,-1,2,-11,7,16,-1
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-05,0,7,-5,10,18,-2
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-06,6,11,-7,13,18,-2
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-07,9,13,-14,8,7,0
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-08,8,11,-17,2,3,1
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-09,1,5,-12,12,21,-2
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-10,0,5,-11,11,17,-2
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-11,1,2,-6,10,17,-1
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-12,-2,4,-5,10,17,-2
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-13,0,7,-8,10,18,-2
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-14,-2,7,-15,0,6,1
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-15,-8,7,-21,-7,0,3
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-16,-11,6,-23,-4,14,1
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-17,-19,7,-28,-15,3,4
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-18,-25,5,-28,-22,-6,7
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-19,-36,2,-34,-31,-17,10
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-20,-45,0,-45,-37,-21,13
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-21,-63,-16,-66,-50,-30,16
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-22,-72,-33,-75,-60,-34,17
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-23,-65,-26,-61,-58,-42,20
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-24,-71,-33,-62,-63,-51,22
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-25,-69,-32,-57,-63,-52,23
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-26,-69,-29,-54,-62,-50,22
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-27,-67,-26,-56,-60,-48,23
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-28,-70,-27,-64,-59,-41,19
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-29,-71,-35,-70,-62,-34,17
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-30,-62,-26,-55,-59,-43,20
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-03-31,-60,-21,-53,-58,-45,19
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-04-01,-58,-19,-48,-57,-45,20
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-04-02,-59,-17,-48,-57,-45,20
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-04-03,-60,-14,-52,-55,-42,20
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-04-04,-63,-13,-60,-53,-35,16
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-04-05,-67,-24,-66,-57,-30,15
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-04-06,-56,-14,-53,-53,-38,18
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-04-07,-53,-8,-50,-53,-40,17
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-04-08,-52,-7,-46,-52,-40,18
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-04-09,-49,11,-40,-49,-41,16
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-04-10,-76,-38,-58,-69,-72,27
BR,Brazil,,,,,,ChIJzyjM68dZnAARYz4p8gYVWik,2020-04-11,-59,-5,-59,-52,-36,16
